positive	<smile>	Gas by my house hit $3.39!!!! I'm going to Chapel Hill on Sat. <smile>
negative	can't deal	Iranian general says Israel's Iron Dome can't deal with their missiles (keep talking like that and we may end up finding out)
positive	Hopefully	with j <allcaps> Davlar <number> Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
positive	make it	with j <allcaps> Davlar <number> Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
positive	successful	with j <allcaps> Davlar <number> Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
negative	tough	with j <allcaps> Davlar <number> Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
negative	stresses me out.	Talking about ACT's &amp;&amp; SAT's, deciding where i <allcaps> want to go to college, applying to colleges and everything about college stresses me out.
positive	have	They may have a SuperBowl in Dallas, but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. <user> <user>
positive	SuperBowl	They may have a SuperBowl in Dallas, but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. <user> <user>
negative	ain't winning	They may have a SuperBowl in Dallas, but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. <user> <user>
negative	Not with that	They may have a SuperBowl in Dallas, but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. <user> <user>
neutral	just	<user> <user> <user> i <allcaps> just watched it! Sridevi's comeback u <allcaps> remember her from the <number> Sun mornings on nta <allcaps> <smile>
positive	<smile>	<user> <user> <user> i <allcaps> just watched it! Sridevi's comeback u <allcaps> remember her from the <number> Sun mornings on nta <allcaps> <smile>
negative	didnt want	<user> i <allcaps> didnt want to just pop up but yep we have chapel hill next wednesday you should come and shes great ill tell her you asked
positive	shes great	<user> i <allcaps> didnt want to just pop up but yep we have chapel hill next wednesday you should come and shes great ill tell her you asked
negative	release	<user> <user> hmmmm November is an odd release date if true but if it becomes big enough maybe she could sing it at Grammys
positive	maybe	<user> <user> hmmmm November is an odd release date if true but if it becomes big enough maybe she could sing it at Grammys
negative	delisting	<hashtag> Iran us <allcaps> delisting mko <allcaps> from global terrorists list in line with Iran campaign: Tehran, Oct <number> irna <allcaps> -- Secretary <url>
positive	Good	Good Morning Becky ! Thursday is going to be Fantastic ! <user> <user> <user> <user> <user> <user> <user> <user>
positive	Fantastic	Good Morning Becky ! Thursday is going to be Fantastic ! <user> <user> <user> <user> <user> <user> <user> <user>
neutral	left	One ticket left for the <user> game tomorrow! Don't miss the rematch of the nfc <allcaps> Championship game against the ny <allcaps> Giants! Hit me up!
positive	miss the rematch of	One ticket left for the <user> game tomorrow! Don't miss the rematch of the nfc <allcaps> Championship game against the ny <allcaps> Giants! Hit me up!
positive	game against	One ticket left for the <user> game tomorrow! Don't miss the rematch of the nfc <allcaps> Championship game against the ny <allcaps> Giants! Hit me up!
positive	up!	One ticket left for the <user> game tomorrow! Don't miss the rematch of the nfc <allcaps> Championship game against the ny <allcaps> Giants! Hit me up!
negative	turn your back on him.	afc <allcaps> away fans on Saturday. All this stuff about the 'she said no' chant. It's bollocks. When he has the ball, just turn your back on him.
negative	so hard	Why is it so hard to find the <user> these days? Went to <number> stores for the Castle cover issue. NONE. Will search again tomorrow
positive	dreams and goals	Never start working on your dreams and goals tomorrowtomorrow never comesif it means anything to U, act <allcaps> NOW! <hashtag> getafterit
positive	means anything	Never start working on your dreams and goals tomorrowtomorrow never comesif it means anything to U, act <allcaps> NOW! <hashtag> getafterit
positive	act <allcaps> NOW!	Never start working on your dreams and goals tomorrowtomorrow never comesif it means anything to U, act <allcaps> NOW! <hashtag> getafterit
positive	was a win for me.	<user> i <allcaps> had Vick and Flacco, needed an upgrade. Vick may get benched, Jennings a back up again soon. i <allcaps> thought it was a win for me.
positive	too much fun	Looks like Andy the Android may have had a little too much fun yesterday. <url>
negative	Can't beat	Can't beat some derby day action on the big screen at Walkabout! Retweet if you watched Super Sunday yesterday! <url>
negative	big ass get on my nerves,	<user> lmfao <allcaps> his big ass get on my nerves, you going to class tomorrow?
negative	not so sure,	<user> you think the Boro will beat Swansea? I'm not so sure, December/January is when we implode
positive	Omg	<user> i <allcaps> have studied all day but tomorrow I'm going out with friends! <smile> Omg Jennette did?!!!! I'm gonna look! &lt;3
positive	Good	"Good morning Thursday. ""Life is fragile. We're not guaranteed a tomorrow so give it everything you've got."" - Tim Cook [Do it for Jobs!]"
negative	not guaranteed	"Good morning Thursday. ""Life is fragile. We're not guaranteed a tomorrow so give it everything you've got."" - Tim Cook [Do it for Jobs!]"
positive	Thank u	<user> anything. i <allcaps> wondered how the aspects btwn my sun/moon faired with my rising. i <allcaps> also have Venus in Sagyea lol Thank u <smile>
negative	candywasn't even the good <allcaps> stuff.	My teachers call themselves givng us candywasn't even the good <allcaps> stuff. i <allcaps> might go to Walmart or cvs <allcaps> tomorrow/
positive	<smile>	<user> i <allcaps> may have an Android phone by the time i <allcaps> get back to school! <smile>
negative	Warning	Andre's Wigan Warning - <hashtag> COYS <allcaps> Official Site Wigan might currently occupy <number> place in the Premier League, <url>
positive	better	How are they going to act in new york with the subways out? They better clutch it out like Eli Manning <number> quarter
negative	missing	Homegrown talent missing on Signing Day: Throughout most of the day on Wednesday, the video scoreboard  <url> <hashtag> Raleigh
positive	perf	taylor swift is coming with ed sheeran june <number> most perf news i've heard all night.
positive	great	The great Noel Gallagher is about to hit the stage in St. Paul. Plenty of room here so we're <number> row center. Plenty of room. Pretty fired up
positive	Plenty	The great Noel Gallagher is about to hit the stage in St. Paul. Plenty of room here so we're <number> row center. Plenty of room. Pretty fired up
positive	Plenty of room. Pretty fired up	The great Noel Gallagher is about to hit the stage in St. Paul. Plenty of room here so we're <number> row center. Plenty of room. Pretty fired up
positive	plenty of ups &amp; downs	<user> There are going to be plenty of ups &amp; downs for Boro,Cardiff,Leicester etc until May.I hope we are still in with a shout for promo
positive	hope	<user> There are going to be plenty of ups &amp; downs for Boro,Cardiff,Leicester etc until May.I hope we are still in with a shout for promo
negative	Nooooooooo	<user> Nooooooooo rosanne! They've just restocked them and me going overseas Sunday means i <allcaps> can't afford them :'(
negative	can't afford	<user> Nooooooooo rosanne! They've just restocked them and me going overseas Sunday means i <allcaps> can't afford them :'(
negative	:'(	<user> Nooooooooo rosanne! They've just restocked them and me going overseas Sunday means i <allcaps> can't afford them :'(
neutral	may need to	after seeing <user> tweet about watching The Vow, i <allcaps> think i <allcaps> may need to watch it.
positive	fave	Tomorrow shall consist of watching Will Ferrell films with my fave people and Chinese food, sweet.
positive	sweet.	Tomorrow shall consist of watching Will Ferrell films with my fave people and Chinese food, sweet.
positive	good	<user> And the same station that will air new episodes of cougar <allcaps> town <allcaps> in January! <user> has been good to us, Jordan. <hashtag> PennyCan
positive	may have a heart attack for Jason Wu's new collection.	i <allcaps> think i <allcaps> may have a heart attack for Jason Wu's new collection. So Charlotte Rampling in the Night <url>
positive	correctly	If i <allcaps> can get my equipment working correctly we will have a live show on Friday at <number> pm cst <allcaps> with contactee Ray <url>
positive	Amazing concert tonight	Amazing concert tonight with Jim White and the tcu <allcaps> Jazz Ensemble/Faculty Jazz Combo! Don't miss tomorrow night <url>
positive	Hope to see you there <smile>	Kick-off your weekend with service! EV!'s Get on the Bus trip to the Boys &amp; Girls Club is Friday from <number> Hope to see you there <smile>
positive	Lmfao	<user> Lmfao alright u got me there. Good job Parker and the spurs, see y'all jan <number> If i <allcaps> get an extra ticket to that game ur goin
positive	Good job	<user> Lmfao alright u got me there. Good job Parker and the spurs, see y'all jan <number> If i <allcaps> get an extra ticket to that game ur goin
positive	well known day	Desperation Day (February <number> the most well known day in all mens life.
neutral	overhaul:	<hashtag> web Apple software, retail chiefs out in overhaul: san <allcaps> francisco <allcaps> (Reuters) - Apple Inc ceo <allcaps> Tim Cook on Monday replaced the heads of 
negative	Damn	<user> Damn next Saturday tho Niggas was trynna get shit over with <hashtag> early
negative	shit	<user> Damn next Saturday tho Niggas was trynna get shit over with <hashtag> early
positive	Day!	<user> Hi Elif Greetings from usa <allcaps> midwest How is school going? Happy Turkish Republic Day! i <allcaps> can't wait for Nov <number> <hashtag> NewGlee Yes!
positive	<number> <hashtag> NewGlee	<user> Hi Elif Greetings from usa <allcaps> midwest How is school going? Happy Turkish Republic Day! i <allcaps> can't wait for Nov <number> <hashtag> NewGlee Yes!
positive	Hoping	Hoping to look fit <allcaps> tomorrow on the Jeremy Kyle show <hashtag> ITVFashion
positive	fit <allcaps>	Hoping to look fit <allcaps> tomorrow on the Jeremy Kyle show <hashtag> ITVFashion
negative	fails	Obma fails <number> us, he divides us by sex, color,party,age, wealth Nevada's <number> Latino governor votes early for Romney, predicts gop <allcaps> win
negative	divides	Obma fails <number> us, he divides us by sex, color,party,age, wealth Nevada's <number> Latino governor votes early for Romney, predicts gop <allcaps> win
positive	moving	Grammys concert pays moving tribute to Whitney Houston: Whitney Houston was given a final sendoff by the Grammys on Thursday as Halle
positive	<hashtag> Untouchable no more!	Drew Peterson is <hashtag> Untouchable no more! Check out these movie photos before you watch on Sun at <number> <url>
positive	hopefully	<user> im just a <number> year old still on loan for the <number> time at coventry <number> overall hopefully when i return bale will still be ther
positive	pumped <allcaps>	pumped <allcaps> to open the season tomorrow night against Georgetown! Women's Preview: <url> | Men's Preview: <url>
positive	eased	Apple shakeup Mobile software boss eased out: Apple Inc. ceo <allcaps> Tim Cook on Monday pushed out the powerful head of the company&amp;#039;s mo
negative	pushed out	Apple shakeup Mobile software boss eased out: Apple Inc. ceo <allcaps> Tim Cook on Monday pushed out the powerful head of the company&amp;#039;s mo
negative	"managed to ""lose"""	"Somehow i <allcaps> managed to ""lose"" my princess leia bra on Saturday. I'm going to Noel Gallagher as ""Glock at Phish"" ie jorts&amp;tank. <user>"
negative	doesn't come	<user> i <allcaps> may relent and get one myself, but i <allcaps> hope it doesn't come to that. Hopefully all the decent apps will get ported to android
positive	Hopefully	<user> i <allcaps> may relent and get one myself, but i <allcaps> hope it doesn't come to that. Hopefully all the decent apps will get ported to android
positive	decent	<user> i <allcaps> may relent and get one myself, but i <allcaps> hope it doesn't come to that. Hopefully all the decent apps will get ported to android
positive	available	Android <number> Camera app with Photo Sphere now available for Galaxy Nexus: Introduced on Monday, Android <number> bring <url>
positive	Great songs	SAEED: <hashtag> NowPlaying: BEP, Ricky Martin and kt <allcaps> Tunstall! Great songs to get you through your Sunday! Hate the rain!! <url>
negative	Hate the rain!!	SAEED: <hashtag> NowPlaying: BEP, Ricky Martin and kt <allcaps> Tunstall! Great songs to get you through your Sunday! Hate the rain!! <url>
neutral	just	<user> <user> <user> Nope, it's just Camden, eating Greek food with a pumpkin Just another Wednesday.
neutral	Just	<user> <user> <user> Nope, it's just Camden, eating Greek food with a pumpkin Just another Wednesday.
positive	fine ass	Omg. Ricky Martin may be gay but he is one fine ass gay man.
positive	<smile>	<user> the Clippers are playing the Cavaliers on Monday and are having a night to honor Israel! <smile> wish you were in la <allcaps> STILL.
negative	"fucking idiots."""	"Noel Gallagher: ""Musicians are fucking idiots."" - Yeah, Brian May - he's an idiot an idiot who just so happens to be a professor?"
positive	happens to be a	"Noel Gallagher: ""Musicians are fucking idiots."" - Yeah, Brian May - he's an idiot an idiot who just so happens to be a professor?"
neutral	likely	Vow is likely to return from a midsummer break in the Prix de Royallieu at Longchamp on Saturday. <url>
positive	Hell yea lmfaoo	<user> Hell yea lmfaoo , &amp; see you tomorrow Asia baby (;
positive	(;	<user> Hell yea lmfaoo , &amp; see you tomorrow Asia baby (;
negative	Out	<hashtag> NowPlaying Michael Jackson - She's Out of My Life (Live At Wembley July <number> <url> L.O.V.E it! <hashtag> MjTunes
positive	L.O.V.E	<hashtag> NowPlaying Michael Jackson - She's Out of My Life (Live At Wembley July <number> <url> L.O.V.E it! <hashtag> MjTunes
negative	struggling	Niggas be on the lakers <allcaps> DICKwe still gon finish damn near first seedwhile yo team be struggling for the <number> spot
positive	<hashtag> nojoke	i <allcaps> need another Viv necklace May buy myself one for Valentines day <hashtag> nojoke
positive	will never get old	"I'm in the bathroom bumping ""Niggas In Paris"" Crunk ass hell like it's my <number> time hearing it this song will never get old lol"
positive	really busy	Just got tickets to see Muse in Florida. That, combined with the Grammys two weeks prior, equals a really busy February for Ruby and myself.
positive	excited for	"Welcome Nick J! :"") ""@nickjonas"" In Manila! So excited for the show on Friday."
positive	happy <allcaps>	It's midnight on the east coast which means its <user> birthday! happy <allcaps> <number> birthday <allcaps> nick <allcaps> J!!!!!!!!!! &lt;333
negative	apologizes	Apple ceo <allcaps> apologizes for error-ridden new map app: Apple ceo <allcaps> Tim Cook apologized Friday for the company's error-ridden new mobile map
negative	error-ridden	Apple ceo <allcaps> apologizes for error-ridden new map app: Apple ceo <allcaps> Tim Cook apologized Friday for the company's error-ridden new mobile map
negative	apologized	Apple ceo <allcaps> apologizes for error-ridden new map app: Apple ceo <allcaps> Tim Cook apologized Friday for the company's error-ridden new mobile map
negative	error-ridden	Apple ceo <allcaps> apologizes for error-ridden new map app: Apple ceo <allcaps> Tim Cook apologized Friday for the company's error-ridden new mobile map
positive	time to	We are here <user> for our <number> Anniversary celebration. You still have time to make it - <number> S. King Dr
positive	it -	We are here <user> for our <number> Anniversary celebration. You still have time to make it - <number> S. King Dr
