positive	Gas by my house hit $3.39!!!! I'm going to Chapel Hill on Sat. <smile>
negative	Iranian general says Israel's Iron Dome can't deal with their missiles (keep talking like that and we may end up finding out)
positive	with j <allcaps> Davlar <number> Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
negative	Talking about ACT's &amp;&amp; SAT's, deciding where i <allcaps> want to go to college, applying to colleges and everything about college stresses me out.
negative	They may have a SuperBowl in Dallas, but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. <user> <user>
neutral	Im bringing the monster load of candy tomorrow, i <allcaps> just hope it doesn't get all squiched
neutral	Apple software, retail chiefs out in overhaul: san <allcaps> francisco <allcaps> Apple Inc ceo <allcaps> Tim Cook on Monday replaced the heads <url>
positive	<user> <user> <user> i <allcaps> just watched it! Sridevi's comeback u <allcaps> remember her from the <number> Sun mornings on nta <allcaps> <smile>
neutral	<hashtag> Livewire Nadal confirmed for Mexican Open in February: Rafael Nadal is set to play at the Me <url> <hashtag> LiveWireAthletics
positive	<user> i <allcaps> didnt want to just pop up but yep we have chapel hill next wednesday you should come and shes great ill tell her you asked
neutral	<user> <user> hmmmm November is an odd release date if true but if it becomes big enough maybe she could sing it at Grammys
neutral	<hashtag> Iran us <allcaps> delisting mko <allcaps> from global terrorists list in line with Iran campaign: Tehran, Oct <number> irna <allcaps> -- Secretary <url>
positive	Good Morning Becky ! Thursday is going to be Fantastic ! <user> <user> <user> <user> <user> <user> <user> <user>
neutral	Expect light-moderate rains over E. Visayas; Cebu, Bohol, Samar &amp; Leyte have <number> chance of rains tonight! Expect fair weather tomorrow!:)
positive	One ticket left for the <user> game tomorrow! Don't miss the rematch of the nfc <allcaps> Championship game against the ny <allcaps> Giants! Hit me up!
negative	afc <allcaps> away fans on Saturday. All this stuff about the 'she said no' chant. It's bollocks. When he has the ball, just turn your back on him.
negative	Why is it so hard to find the <user> these days? Went to <number> stores for the Castle cover issue. NONE. Will search again tomorrow
neutral	<user> the heat game may cost alot moreand plus i <allcaps> would rather see Austin Rivers play
positive	Never start working on your dreams and goals tomorrowtomorrow never comesif it means anything to U, act <allcaps> NOW! <hashtag> getafterit
positive	<user> i <allcaps> had Vick and Flacco, needed an upgrade. Vick may get benched, Jennings a back up again soon. i <allcaps> thought it was a win for me.
positive	Looks like Andy the Android may have had a little too much fun yesterday. <url>
positive	<user> oooh nice  Tis tempting to go up the lakes with my Nikon  Hmmmm i <allcaps> may do that 
neutral	black <allcaps> friday <allcaps> Huge Saving Aerial View of a City, Paris Las Vegas, the Las Vegas Strip, Las Vegas, <url>
negative	<user> <user> <user> Jenelle lies,1st she said she was alone &amp;the hosp.now she's saying how weird it was for Keiffer's
negative	<user> lmfao <allcaps> his big ass get on my nerves, you going to class tomorrow?
neutral	Mohamed Morsi, Egypt's Muslim Brotherhood president, instructed the Supreme Council of the Armed Forces Thursday <url>
neutral	C'mon Avila! You just got tagged out by a guy who looks like the kid Bill Murray was researching in The Royal Tenenbaums! <hashtag> Tigers
negative	<user> you think the Boro will beat Swansea? I'm not so sure, December/January is when we implode
neutral	At the first Grammy Awards, held on <number> May <number> Domenico Modugno beat out Frank Sinatra and Peggy Lee for the Record of the Year,with Volare
positive	<user> i <allcaps> have studied all day but tomorrow I'm going out with friends! <smile> Omg Jennette did?!!!! I'm gonna look! &lt;3
positive	"Good morning Thursday. ""Life is fragile. We're not guaranteed a tomorrow so give it everything you've got."" - Tim Cook [Do it for Jobs!]"
positive	<hashtag> Twitition Mcfly come back to Argentina but this time we want to come to mar del plata!!! <url>
positive	<user> anything. i <allcaps> wondered how the aspects btwn my sun/moon faired with my rising. i <allcaps> also have Venus in Sagyea lol Thank u <smile>
negative	My teachers call themselves givng us candywasn't even the good <allcaps> stuff. i <allcaps> might go to Walmart or cvs <allcaps> tomorrow/
neutral	<hashtag> Broncos Peyton Manning named afc <allcaps> Offensive Player of the month. It's his <number> such honor, second to Tom Brady's <number> tied w/ TD.
neutral	<user> is bringing out Kendrick Lamar the <number> of December!?! Get your tickets now!
positive	<user> i <allcaps> may have an Android phone by the time i <allcaps> get back to school! <smile>
neutral	Andre's Wigan Warning - <hashtag> COYS <allcaps> Official Site Wigan might currently occupy <number> place in the Premier League, <url>
neutral	<user> strange enough, I'm going to see Noel Gallagher in concert tomorrow night. <hashtag> alldayb1tch
neutral	"When my professor passes out candy and says ""a very small amount of that may be from Valentines day, just so you know"""
neutral	How are they going to act in new york with the subways out? They better clutch it out like Eli Manning <number> quarter
negative	Homegrown talent missing on Signing Day: Throughout most of the day on Wednesday, the video scoreboard  <url> <hashtag> Raleigh
positive	taylor swift is coming with ed sheeran june <number> most perf news i've heard all night.
positive	The great Noel Gallagher is about to hit the stage in St. Paul. Plenty of room here so we're <number> row center. Plenty of room. Pretty fired up
neutral	<user> There are going to be plenty of ups &amp; downs for Boro,Cardiff,Leicester etc until May.I hope we are still in with a shout for promo
neutral	Playing as the Browns hc <allcaps> K. Fri in <hashtag> Madden13, XFacalac lost to the Ravens <number> on All-Madden <hashtag> ConnectedCareers
negative	<user> Nooooooooo rosanne! They've just restocked them and me going overseas Sunday means i <allcaps> can't afford them :'(
